Index_Original,Index,Subject,Language_Task_Acc
5,0,103111,94.722
28,1,123925,86.25
31,2,126325,73.75
34,3,128127,100.0
12,4,110411,95.0
10,5,106016,91.25
46,6,138534,86.25
23,7,118932,86.25
7,8,103818,86.667
42,9,133928,84.167
39,10,131217,91.667
4,11,101915,88.125
17,12,114419,93.75
33,13,127933,100.0
35,14,128632,82.639
43,15,135225,85.625
26,16,122620,73.03
36,17,129028,91.875
19,18,116524,77.917
29,19,124422,77.639
25,20,122317,90.625
16,21,113922,92.222
47,22,139637,83.125
38,23,130316,92.5
44,24,135932,94.375
27,25,123117,72.708
45,26,136833,94.444
21,27,118528,73.75
40,28,131722,92.5
9,29,105115,94.375
